GesID	Ebene
1	Plain
2	Plain
3	Plain
4	Plain
5	Plain
6	Plain
7	Plain
8	Plain
9	Plain
10	Plain
12	Plain
13	Plain
14	Plain
15	Plain
16	Plain
17	Plain
18	Plain
19	Plain
20	Plain
21	Plain
22	Plain
23	Plain
24	Plain
25	Plain
26	Plain
27	Plain
28	Plain
29	Plain
30	Plain
31	Plain
32	Plain
33	Plain
34	Plain
35	Plain
36	Plain
37	Plain
38	Plain
39	Plain
40	Plain
41	on water surface
42	Plain
43	Plain
44	Plain
45	Plain
46	Plain
47	on water surface
48	Plain
49	Plain
52	Plain
53	Plain
54	Plain
55	Plain
56	Plain
57	on water surface
58	on water surface
59	Plain
60	Plain
61	Plain
62	Plain
63	Plain
64	Plain
65	Plain
66	Plain
67	Plain
68	on water surface
69	Plain
70	Plain
71	Plain
72	Plain
72	on water surface
73	Plain
74	Plain
75	Plain
76	Plain
77	Plain
78	Plain
79	Plain
80	Plain
81	Plain
82	Plain
83	Plain
84	Plain
85	Plain
86	Plain
87	Plain
88	Plain
89	Plain
90	Plain
91	Plain
93	Plain
94	Plain
95	Plain
96	Plain
97	Plain
98	Plain
99	Plain
99	Plain
100	Plain
102	Plain
103	Plain
104	Plain
105	Plain
106	Shadow-exposed slope
107	Plain
110	Plain
112	Plain
113	Plain
114	Plain
115	Plain
116	Plain
117	Sun-exposed slope
117	Plain
117	Shadow-exposed slope
118	Plain
119	Plain
120	Plain
121	Plain
122	Plain
123	Plain
124	Plain
125	Plain
126	Plain
127	Plain
128	Plain
129	Plain
130	Plain
131	Plain
132	Plain
133	Plain
134	Plain
135	Plain
136	Plain
137	Plain
138	Plain
139	Plain
140	Plain
140	on water surface
141	Plain
142	Plain
143	Plain
144	Plain
145	Plain
146	Plain
147	Plain
148	Plain
149	Plain
150	Plain
151	Plain
152	Plain
153	Plain
154	Plain
155	Plain
156	Plain
158	Plain
159	Plain
160	Plain
161	Plain
162	Plain
163	Plain
164	Plain
165	Plain
166	Plain
167	Plain
168	Plain
169	Plain
170	Plain
171	Plain
172	Plain
173	Plain
174	Plain
175	Plain
176	Plain
177	Plain
178	Plain
180	Plain
181	Plain
183	Plain
187	Plain
188	Plain
189	Plain
190	Plain
191	Plain
192	Plain
196	Plain
198	Plain
203	Plain
204	Plain
206	Plain
2010	Shadow-exposed slope
2010	Plain
2011	Sun-exposed slope
2011	Plain
2012	Plain
2013	Shadow-exposed slope
2013	Plain
2013	Sun-exposed slope
2014	Shadow-exposed slope
2015	Plain
2016	Plain
2016	Sun-exposed slope
2016	Shadow-exposed slope
2017	Sun-exposed slope
2018	Shadow-exposed slope
2019	Shadow-exposed slope
2020	Shadow-exposed slope
2020	Sun-exposed slope
2020	Plain
2021	Plain
2022	Sun-exposed slope
2023	Shadow-exposed slope
2024	Plain
2024	Sun-exposed slope
2025	Shadow-exposed slope
2026	Plain
2026	Shadow-exposed slope
2026	Sun-exposed slope
2027	Plain
2027	Shadow-exposed slope
2027	Sun-exposed slope
2028	Plain
2028	Shadow-exposed slope
2028	Sun-exposed slope
2029	Sun-exposed slope
2030	Sun-exposed slope
2031	Plain
2032	Plain
2032	Shadow-exposed slope
2033	Sun-exposed slope
2033	Plain
2033	Shadow-exposed slope
2034	Plain
2034	Sun-exposed slope
2034	Shadow-exposed slope
2035	Plain
2035	Shadow-exposed slope
2035	Sun-exposed slope
2036	Plain
2036	Sun-exposed slope
2037	Sun-exposed slope
2038	Plain
2038	Shadow-exposed slope
2039	Sun-exposed slope
2040	Sun-exposed slope
2040	Plain
2041	Sun-exposed slope
2042	Shadow-exposed slope
2042	Plain
2043	Shadow-exposed slope
2043	Plain
2044	Plain
2045	Plain
2046	Plain
2047	Sun-exposed slope
2047	Shadow-exposed slope
2047	Plain
2048	Shadow-exposed slope
2048	Plain
2048	Sun-exposed slope
2049	Plain
2050	Plain
2050	Sun-exposed slope
2050	Shadow-exposed slope
2051	Shadow-exposed slope
2051	Sun-exposed slope
2051	Plain
2052	Plain
2053	Sun-exposed slope
2053	Plain
2053	Shadow-exposed slope
2054	Sun-exposed slope
2054	Plain
2054	Shadow-exposed slope
2055	Shadow-exposed slope
2055	Plain
2055	Sun-exposed slope
2056	Plain
2057	Shadow-exposed slope
2057	Plain
2057	Sun-exposed slope
2058	Plain
2058	Sun-exposed slope
2058	Shadow-exposed slope
2059	Sun-exposed slope
2059	Shadow-exposed slope
2059	Plain
2060	Plain
2060	Sun-exposed slope
2060	Shadow-exposed slope
2061	Shadow-exposed slope
2062	Plain
2062	Shadow-exposed slope
2063	Shadow-exposed slope
2064	Shadow-exposed slope
2064	Plain
2065	Shadow-exposed slope
2065	Plain
2066	Plain
2067	Plain
2068	Sun-exposed slope
2069	Plain
2069	Sun-exposed slope
2069	Shadow-exposed slope
2070	Shadow-exposed slope
2071	Shadow-exposed slope
2071	Sun-exposed slope
2072	Plain
2073	Plain
2073	Shadow-exposed slope
2074	Shadow-exposed slope
2074	Plain
2075	Shadow-exposed slope
2075	Plain
2076	Shadow-exposed slope
2077	Sun-exposed slope
2078	Plain
2079	Shadow-exposed slope
2081	Sun-exposed slope
2081	Plain
2083	Shadow-exposed slope
2084	Plain
2084	Shadow-exposed slope
2085	Sun-exposed slope
2086	Shadow-exposed slope
2087	Sun-exposed slope
2088	Sun-exposed slope
2088	Plain
2089	Shadow-exposed slope
2089	Sun-exposed slope
2090	Sun-exposed slope
2090	Shadow-exposed slope
2090	Plain
2091	Plain
2092	Plain
2093	Plain
2094	Plain
2094	Sun-exposed slope
2094	Shadow-exposed slope
2095	Plain
2095	Shadow-exposed slope
2095	Sun-exposed slope
2096	Plain
2097	Plain
2098	Plain
2099	Plain
2100	Shadow-exposed slope
2100	Plain
2100	Sun-exposed slope
2101	Plain
2102	Shadow-exposed slope
2103	Shadow-exposed slope
2103	Sun-exposed slope
2103	Plain
2104	Plain
2104	Shadow-exposed slope
2105	Sun-exposed slope
2106	Sun-exposed slope
2107	Sun-exposed slope
2108	Shadow-exposed slope
2109	Plain
2110	Plain
2111	Sun-exposed slope
2111	Plain
2112	Shadow-exposed slope
2120	Plain
2121	Shadow-exposed slope
2122	Sun-exposed slope
2124	Plain
2130	Plain
