Comm_ID	Humus_form
41	Moist mull
47	Moist mull
48	Low-moor peat
57	Low-moor peat
68	Transition bog peat
72	Raised bog peat
97	Moist mull
99	Moist mull
106	Moist mull
117	Moist mull
140	Low-moor peat
140	Low-moor peat
153	Transition bog peat
153	Low-moor peat
155	Low-moor peat
160	Moist mull
161	Transition bog peat
164	Transition bog peat
164	Low-moor peat
165	Moist mull
165	Low-moor peat
165	Low-moor peat
176	Moist moder
177	Moist moder
178	Moist moder
178	Transition bog peat
2010	Mull
2010	Moist moder
2010	Moist raw humus
2010	Moder
2011	Mull-like moder
2011	Moder
2012	Moist moder
2012	Mull
2013	Moist moder
2013	Mull
2013	Mull-like moder
2014	Raw humus-like moder
2014	Mull-like moder
2014	Mull
2014	Moder
2015	Raw humus-like moder
2015	Moder
2015	Moder
2015	Raw humus-like moder
2016	Raw humus-like moder
2016	Moder
2017	Moder
2017	Moder
2017	Raw humus-like moder
2018	Moder
2018	Moder
2018	Raw humus-like moder
2019	Raw humus-like moder
2019	Moder
2019	Mull-like moder
2019	Moist moder
2020	Raw humus-like moder
2020	Mull-like moder
2020	Moder
2020	Anmoor
2021	Raw humus-like moder
2021	Moder
2022	Raw humus-like moder
2022	Moder
2023	Raw humus-like moder
2023	Moder
2024	Moder
2024	Raw humus-like moder
2025	Raw humus-like moder
2025	Moder
2026	Moder
2026	Moder
2026	Raw humus-like moder
2027	Mull
2027	Mull-like moder
2027	Moder
2027	Moder
2028	Mull-like moder
2028	Moder
2028	Moder
2029	Tangel
2029	Mull
2030	Mull
2030	Mull-like moder
2030	Moder
2031	Mull
2031	Mull-like moder
2032	Mull
2032	Mull-like moder
2032	Moder
2033	Moder
2033	Moder
2034	Raw humus-like moder
2034	Raw humus-like moder
2035	Raw humus-like moder
2035	Raw humus-like moder
2035	Raw humus
2036	Raw humus-like moder
2036	Raw humus-like moder
2036	Raw humus
2037	Mull-like moder
2037	Moder
2037	Moder
2038	Raw humus-like moder
2038	Raw humus-like moder
2038	Raw humus-like moder
2039	Raw humus-like moder
2039	Raw humus-like moder
2040	Raw humus-like moder
2040	Raw humus
2041	Mull
2041	Mull
2041	Mull-like moder
2042	Mull
2042	Mull
2042	Mull-like moder
2043	Raw humus-like moder
2043	Raw humus-like moder
2044	Moist raw humus
2044	Raised bog peat
2045	Raw humus-like moder
2045	Raw humus-like moder
2045	Raw humus-like moder
2046	Moist raw humus
2047	Raw humus
2047	Moist raw humus
2048	Raw humus-like moder
2048	Raw humus
2048	Raw humus
2049	Moist moder
2049	Mull
2050	Moist moder
2050	Mull-like moder
2051	Moist moder
2051	Mull
2052	Moist raw humus
2052	Moist moder
2053	Low-moor peat
2053	Anmoor
2054	Mull-like moder
2054	Anmoor
2054	Mull
2055	Mull
2055	Moist moder
2055	Mull-like moder
2056	Moder
2056	Mull-like moder
2056	Moist moder
2057	Moder
2057	Mull
2057	Mull-like moder
2058	Raised bog peat
2059	Raised bog peat
2060	Moist moder
2060	Mull
2061	Mull-like moder
2061	Moder
2061	Mull
2062	Mull
2062	Mull-like moder
2063	Mull-like moder
2063	Anmoor
2064	Raw humus-like moder
2064	Raw humus
2065	Raw humus-like moder
2065	Raw humus
2066	Moder
2066	Moist moder
2066	Raw humus-like moder
2066	Raw humus-like moder
2066	Moder
2067	Mull
2067	Anmoor
2067	Mull
2068	Tangel
2069	Raw humus-like moder
2069	Raw humus-like moder
2069	Raw humus-like moder
2070	Mull
2070	Mull-like moder
2070	Mull
2071	Moder
2071	Mull-like moder
2072	Raw humus-like moder
2072	Raw humus-like moder
2073	Moder
2073	Mull-like moder
2073	Moder
2074	Mull-like moder
2074	Moder
2075	Mull-like moder
2075	Moder
2075	Moder
2076	Mull-like moder
2076	Moder
2077	Mull-like moder
2077	Moder
2077	Mull
2077	Moder
2078	Mull-like moder
2078	Moder
2078	Mull
2078	Moist moder
2079	Moder
2079	Raw humus-like moder
2079	Moder
2080	Moist mull
2081	Mull
2081	Mull-like moder
2081	Moder
2081	Raw humus-like moder
2083	Mull
2083	Mull-like moder
2083	Moder
2084	Mull-like moder
2084	Moder
2084	Moder
2085	Mull
2085	Mull-like moder
2086	Mull
2086	Mull-like moder
2087	Mull
2088	Moder
2089	Moder
2090	Moist raw humus
2090	Transition bog peat
2091	Moist mull
2091	Anmoor
2091	Low-moor peat
2091	Low-moor peat
2092	Low-moor peat
2093	Low-moor peat
2094	Moder
2095	Mull
2096	Mull
2097	Mull
2098	Mull
2099	Mull
2100	Mull
2100	Mull
2100	Moist moder
2100	Moder
2100	Mull
2100	Mull-like moder
2101	Anmoor
2102	Moder
2102	Mull-like moder
2103	Moder
2103	Mull-like moder
2104	Mull
2105	Mull
2106	Mull
2107	Raw humus
2107	Moder
2107	Raw humus-like moder
2108	Moder
2109	Raw humus-like moder
2109	Raw humus
2110	Moist raw humus
2110	Raw humus
2110	Anmoor
2111	Moder
2111	Mull-like moder
2112	Moder
2112	Mull-like moder
2120	Raw humus-like moder
2120	Moder
2120	Moder
2121	Raw humus-like moder
2121	Moder
2121	Moder
2122	Moder
2122	Moder
2122	Raw humus-like moder
2124	Moder
2124	Raw humus-like moder
2124	Moder
2130	Raw humus-like moder
2130	Raw humus-like moder
2131	Raw humus-like moder
2131	Raw humus-like moder
2132	Raw humus-like moder
2132	Raw humus-like moder
2133	Raw humus
2133	Raw humus-like moder
2134	Raw humus-like moder
2140	Raw humus-like moder
2140	Raw humus
2150	Raw humus
2150	Lean raw humus
2151	Raw humus-like moder
2151	Lean raw humus
2151	Raw humus
2152	Raw humus-like moder
2152	Raw humus-like moder
2152	Raw humus-like moder
2153	Moder
2153	Moder
2154	Mull-like moder
2154	Moder
2155	Raw humus-like moder
2155	Raw humus
2156	Raw humus-like moder
2156	Raw humus
2160	Raw humus-like moder
2160	Raw humus
2170	Moist raw humus
2180	Raised bog peat
2190	Raised bog peat
2191	Moist raw humus
2192	Transition bog peat
2193	Low-moor peat
2201	Raw humus-like moder
2201	Moist raw humus
2202	Moist raw humus
2203	Moist moder
2210	Raw humus-like moder
2210	Transition bog peat
2210	Moist moder
2211	Raw humus-like moder
2212	Raw humus-like moder
2230	Raw humus-like moder
2230	Raw humus-like moder
2241	Mull-like moder
2241	Mull
2242	Mull-like moder
2242	Mull
2243	Mull-like moder
2243	Mull
2244	Mull
2244	Mull-like moder
2245	Moder
2245	Moder
2246	Moist moder
2250	Moist moder
2250	Moder
2250	Mull-like moder
2260	Mull-like moder
2260	Mull
2261	Moder
2261	Mull-like moder
2261	Mull
2270	Mull-like moder
2270	Mull
2271	Mull-like moder
2271	Mull
2271	Moder
2273	Mull-like moder
2273	Mull
2274	Mull-like moder
2274	Mull
2280	Mull-like moder
2280	Mull
2280	Moder
2289	Moist mull
2290	Anmoor
2291	Mull-like moder
2291	Anmoor
2292	Mull-like moder
2292	Moder
2293	Mull-like moder
2293	Moder
2301	Moder
2301	Moder
2302	Moder
2302	Mull
2302	Mull-like moder
2303	Moder
2303	Mull-like moder
2304	Moder
2304	Mull-like moder
2305	Mull-like moder
2306	Raw humus-like moder
2306	Raw humus
2307	Mull
2308	Moder
2309	Mull
2310	Moder
2311	Moder
2311	Moder
2311	Raw humus-like moder
2312	Mull-like moder
2312	Mull
2312	Moder
2313	Mull-like moder
2313	Moder
2314	Mull
2314	Mull
2315	Mull
2315	Mull
2316	Mull
2317	Mull-like moder
2318	Mull
2319	Mull
2320	Moder
2320	Raw humus
2320	Raw humus-like moder
2321	Mull
2322	Mull
2323	Mull
2330	Raw humus-like moder
2330	Raw humus-like moder
2340	Raw humus
2340	Raw humus-like moder
2340	Raw humus-like moder
2350	Raw humus-like moder
2350	Raw humus
2350	Raw humus-like moder
2360	Moder
2360	Moder
2370	Moder
2370	Moder
2370	Mull
2370	Mull-like moder
2380	Mull
2380	Mull-like moder
2381	Mull-like moder
2381	Moder
2382	Mull-like moder
2382	Mull
2383	Raw humus
2384	Raw humus-like moder
2385	Moder
2386	Mull-like moder
2386	Mull
2387	Mull
2388	Moist mull
2399	Raw humus-like moder
2399	Anmoor
2400	Raw humus-like moder
2400	Raw humus-like moder
2401	Raw humus-like moder
2401	Raw humus-like moder
2402	Moder
2402	Moder
2402	Mull
2402	Mull-like moder
2403	Moder
2403	Mull-like moder
2403	Moder
2403	Mull
2404	Mull-like moder
2404	Mull
2404	Moder
2405	Mull-like moder
2405	Mull-like moder
2405	Mull
2405	Mull
2406	Moder
2406	Mull-like moder
2406	Tangel
2407	Moist moder
2407	Mull
2408	Tangel
2409	Moist raw humus
2409	Raised bog peat
2410	Moist raw humus
2410	Raised bog peat
2412	Raw humus-like moder
2412	Raw humus
2413	Tangel
2414	Moder
2414	Tangel
2415	Moder
2415	Mull-like moder
2415	Moder
2416	Raw humus-like moder
2416	Moist raw humus
2417	Raw humus-like moder
2417	Moist raw humus
2418	Raw humus-like moder
2418	Raw humus
2418	Raw humus-like moder
2419	Raw humus-like moder
2419	Raw humus-like moder
2419	Raw humus
2420	Moder
2420	Moder
2421	Moder
2422	Moder
2422	Tangel
2423	Raw humus-like moder
2423	Tangel
2424	Moder
2424	Tangel
2425	Raw humus-like moder
2425	Tangel
2426	Raw humus
2426	Raw humus-like moder
2427	Tangel
2427	Raw humus-like moder
2428	Mull-like moder
2428	Mull
2429	Tangel
2430	Moder
2430	Raw humus-like moder
2430	Moder
2431	Mull-like moder
2431	Mull
2432	Moder
2432	Mull-like moder
2433	Mull-like moder
2433	Mull
2434	Mull-like moder
2434	Mull
2435	Mull
2435	Mull-like moder
2436	Mull-like moder
2436	Mull
2437	Mull-like moder
2437	Mull
2437	Moder
2438	Moder
2438	Moder
2439	Tangel
2439	Moder
2440	Tangel
2440	Moder
2441	Tangel
2441	Moder
2442	Tangel
2442	Moder
2444	Moder
2444	Tangel
2445	Moder
2445	Mull
2445	Mull-like moder
2446	Moder
2446	Mull-like moder
2461	Moder
2461	Mull-like moder
2462	Moder
2462	Mull-like moder
2464	Moder
2464	Mull-like moder
2465	Moder
2465	Mull-like moder
2465	Mull
2470	Moder
2470	Mull-like moder
2471	Moder
2471	Mull-like moder
2473	Moder
2473	Mull-like moder
2474	Moder
2474	Raw humus-like moder
2474	Mull-like moder
2474	Moder
2475	Moder
2475	Raw humus-like moder
2475	Mull-like moder
2475	Moder
2477	Moder
2477	Mull-like moder
2477	Raw humus-like moder
2477	Moder
2478	Moder
2478	Moder
2501	Raw humus
2501	Raw humus-like moder
2502	Raw humus-like moder
2502	Moder
2502	Moder
2502	Moder
2502	Raw humus-like moder
2502	Raw humus
2510	Raw humus-like moder
2510	Moder
2511	Raw humus
2511	Raw humus-like moder
2512	Raw humus-like moder
2512	Raw humus-like moder
2512	Raw humus-like moder
2513	Raw humus-like moder
2513	Raw humus-like moder
2513	Raw humus-like moder
2514	Mull-like moder
2515	Mull-like moder
2515	Mull
2516	Mull
2516	Mull-like moder
2517	Mull
2518	Mull
2519	Mull
2520	Mull-like moder
2521	Mull-like moder
2522	Mull-like moder
2522	Mull
2523	Mull
2524	Mull-like moder
2525	Mull-like moder
2526	Mull-like moder
2527	Mull-like moder
2528	Mull-like moder
2529	Mull-like moder
2530	Mull-like moder
2531	Mull-like moder
2532	Mull-like moder
2533	Mull-like moder
2534	Mull-like moder
2535	Mull-like moder
2536	Mull-like moder
2537	Mull-like moder
2538	Mull
2539	Mull
2540	Raw humus-like moder
2540	Mull-like moder
2540	Moder
2541	Raw humus-like moder
2542	Mull-like moder
2543	Moder
2543	Mull-like moder
2544	Raw humus-like moder
2545	Raw humus-like moder
2546	Mull-like moder
2547	Mull-like moder
2547	Mull
2548	Mull-like moder
2549	Mull
2549	Mull-like moder
2550	Mull-like moder
2551	Mull
2552	Mull
2553	Mull
2554	Mull
2555	Moder
2555	Mull-like moder
2556	Mull
2557	Mull
2558	Mull
2559	Mull
2559	Moder
2560	Moder
2560	Raw humus-like moder
2561	Moder
2562	Moder
2563	Moder
2564	Moder
2565	Moder
2566	Mull
2567	Mull
2568	Mull
2569	Mull
2570	Mull
2571	Moder
2572	Moder
2573	Moder
2574	Moder
2575	Moder
2576	Moder
2577	Moder
2578	Moder
2579	Moder
2580	Moder
2581	Moder
2582	Mull
2582	Tangel
2583	Mull
2583	Tangel
2584	Transition bog peat
2585	Transition bog peat
2586	Low-moor peat
2587	Raised bog peat
2588	Moder
2591	Mull
2591	Moder
2592	Mull
2593	Moder
2594	Low-moor peat
2594	Moder
2595	Raw humus
2595	Raw humus-like moder
2596	Moder
2597	Moist mull
2598	Mull
2599	Mull
2601	Moder
2601	Moder
2601	Mull-like moder
2602	Mull-like moder
2602	Moder
2602	Moder
2603	Mull-like moder
2603	Moder
2603	Moder
2604	Moder
2604	Mull-like moder
2604	Moder
2605	Moder
2605	Moder
2606	Mull-like moder
2606	Moder
2606	Moder
2607	Moder
2607	Mull-like moder
2607	Moder
2608	Moder
2608	Mull-like moder
2608	Moder
2609	Mull-like moder
2609	Mull
2610	Mull-like moder
2610	Mull
2611	Mull
2612	Mull
2613	Moder
2613	Mull
2613	Mull-like moder
2614	Moder
2614	Mull-like moder
2614	Mull
2615	Moder
2615	Moder
2615	Mull
2615	Mull-like moder
2616	Moder
2616	Mull-like moder
2617	Mull-like moder
2617	Mull
2618	Mull
2618	Moder
2618	Mull-like moder
2619	Mull-like moder
2619	Mull
2620	Moder
2620	Mull-like moder
2620	Moder
2621	Moder
2621	Mull-like moder
2621	Moder
2622	Raw humus
2622	Moder
2622	Moder
2622	Raw humus-like moder
2623	Mull-like moder
2623	Moder
2623	Moder
2623	Raw humus-like moder
2624	Mull-like moder
2624	Moder
2624	Moder
2625	Moder
2625	Mull-like moder
2625	Moder
2626	Mull-like moder
2626	Moder
2626	Moder
2627	Moder
2627	Mull-like moder
2627	Moder
2628	Moder
2628	Moder
2629	Mull
2629	Moder
2629	Mull-like moder
2630	Moder
2630	Mull
2630	Mull-like moder
2631	Moder
2631	Mull-like moder
2632	Moder
2632	Mull-like moder
2633	Moder
2633	Moder
2634	Mull-like moder
2634	Moder
2634	Mull
2635	Mull-like moder
2635	Moder
2635	Moder
2635	Mull
2636	Moder
2636	Moder
2637	Raw humus
2637	Raw humus-like moder
2638	Raw humus
2638	Raw humus-like moder
2640	Raw humus-like moder
2640	Raw humus
2641	Raw humus-like moder
2641	Moder
2642	Moder
2642	Moder
2643	Moder
2643	Moder
2643	Raw humus-like moder
2644	Mull
2644	Moist moder
2645	Moder
2645	Mull-like moder
2645	Mull
2646	Moder
2646	Moder
2646	Moder
2647	Mull
2647	Moder
2647	Mull-like moder
2648	Moist mull
2649	Moist moder
2649	Anmoor
2650	Mull
2650	Moder
2650	Mull-like moder
2651	Mull-like moder
2651	Mull
2651	Moder
2652	Mull-like moder
2652	Moder
2653	Mull-like moder
2653	Moder
2654	Moder
2654	Moder
2654	Mull-like moder
2654	Mull
2656	Mull
2656	Moder
2656	Mull-like moder
2657	Moder
2657	Mull-like moder
2659	Moder
2659	Moder
2660	Moder
2660	Moder
2660	Mull-like moder
2661	Mull-like moder
2661	Moder
2662	Mull-like moder
2663	Raw humus
2664	Mull-like moder
2664	Moder
2664	Moder
2665	Moder
2665	Tangel
2666	Moder
2666	Mull-like moder
2666	Moder
2667	Raw humus-like moder
2667	Moder
2667	Moder
2669	Moder
2669	Mull-like moder
2669	Moder
2670	Tangel
2670	Moder
2670	Moder
2671	Tangel
2672	Tangel
2673	Moder
2673	Tangel
2674	Moist moder
2675	Tangel
2675	Moder
2676	Raw humus-like moder
2676	Moder
2676	Moder
2677	Moder
2677	Tangel
2678	Moder
2678	Moder
2679	Raw humus
2679	Raw humus-like moder
2679	Raw humus-like moder
2680	Mull-like moder
2680	Mull
2681	Raw humus
2681	Raw humus-like moder
2681	Raw humus-like moder
2682	Moder
2682	Moder
2683	Moder
2683	Moder
2684	Mull
2686	Mull
2687	Mull-like moder
2687	Mull
2688	Mull
2689	Raw humus-like moder
2689	Moder
2690	Moder
2691	Mull
2692	Mull-like moder
2692	Mull
2693	Mull
2694	Mull-like moder
2694	Mull
2695	Moist mull
2695	Mull
2695	Mull-like moder
2696	Mull
2697	Moist mull
2697	Mull
2698	Mull
2699	Mull
2700	Mull
2700	Moder
2700	Mull-like moder
2701	Moder
2701	Mull-like moder
2702	Moder
2702	Mull-like moder
2703	Mull-like moder
2703	Moder
2703	Mull
2704	Moder
2704	Mull-like moder
2705	Mull-like moder
2705	Moder
2705	Mull
2706	Mull-like moder
2706	Mull
2706	Moder
2707	Moder
2707	Mull-like moder
2708	Moder
2708	Mull-like moder
2709	Moder
2709	Mull-like moder
2710	Moder
2710	Mull
2710	Mull-like moder
2711	Moder
2711	Mull-like moder
2712	Mull
2712	Moder
2712	Mull-like moder
2713	Mull
2713	Moder
2713	Mull-like moder
2714	Mull-like moder
2714	Mull
2714	Moder
2715	Mull-like moder
2715	Moder
2716	Moder
2716	Mull
2716	Mull-like moder
2717	Mull
2717	Mull-like moder
2717	Moder
2718	Moist moder
2718	Moder
2719	Moist moder
2719	Moder
2720	Moist moder
2720	Moder
2721	Raw humus-like moder
2721	Moder
2722	Moder
2722	Moder
2723	Moder
2723	Mull-like moder
2724	Mull-like moder
2724	Mull
2725	Moder
2725	Mull-like moder
2726	Mull
2726	Mull-like moder
2727	Mull
2727	Mull-like moder
2727	Moder
2728	Mull
2728	Moder
2728	Mull-like moder
2729	Mull-like moder
2729	Moder
2729	Mull
2730	Moder
2730	Mull-like moder
2730	Moder
2731	Moder
2731	Mull-like moder
2731	Moder
2732	Moder
2732	Moder
2733	Mull-like moder
2733	Moder
2733	Mull
2733	Mull
2734	Mull
2734	Mull-like moder
2734	Moder
2734	Mull
2735	Mull-like moder
2735	Mull
2735	Anmoor
2736	Mull-like moder
2736	Moder
2736	Moder
2736	Mull
2737	Mull
2737	Moist moder
2737	Moder
2737	Mull-like moder
2738	Moder
2738	Mull-like moder
2739	Moder
2739	Mull-like moder
2740	Moder
2740	Moder
2740	Mull-like moder
2741	Moder
2741	Moder
2741	Mull-like moder
2742	Mull-like moder
2742	Moder
2743	Mull-like moder
2743	Moder
2743	Moder
2744	Mull-like moder
2744	Moder
2745	Mull-like moder
2745	Moder
2746	Tangel
2746	Raw humus-like moder
2746	Moder
2747	Moder
2747	Mull
2747	Mull-like moder
2748	Mull-like moder
2748	Moder
2748	Moder
2749	Raw humus-like moder
2749	Raw humus
2750	Moder
2750	Mull-like moder
2750	Mull
2751	Moder
2751	Moder
2752	Moder
2752	Moder
2753	Moder
2753	Mull-like moder
2754	Mull-like moder
2754	Moder
2754	Mull
2755	Moder
2755	Raw humus-like moder
2755	Moder
2756	Moder
2757	Moder
2757	Mull-like moder
2757	Mull
2758	Moder
2758	Moder
2759	Tangel
2759	Moder
2759	Moder
2759	Mull-like moder
2760	Moder
2760	Moder
2760	Tangel
2760	Mull-like moder
2761	Tangel
2761	Moder
2761	Moder
2762	Raw humus-like moder
2762	Moder
2762	Tangel
2763	Moder
2763	Raw humus-like moder
2763	Moder
2764	Tangel
2764	Raw humus
2765	Moder
2765	Raw humus-like moder
2765	Moder
2765	Raw humus
2766	Mull-like moder
2766	Mull
2767	Mull
2768	Moist moder
2769	Moist mull
2770	Moist mull
2771	Moist mull
2771	Moist mull
2772	Mull
2773	Mull
2774	Mull
2775	Mull
2776	Mull
2777	Mull
2778	Mull
2779	Mull
2780	Mull-like moder
2781	Mull-like moder
2801	Moist moder
2802	Moist moder
2802	Mull-like moder
2803	Moder
2803	Mull-like moder
2804	Moist raw humus
2804	Moder
2804	Moder
2804	Transition bog peat
2805	Transition bog peat
2805	Moist moder
2805	Anmoor
2806	Anmoor
2806	Mull
2807	Mull
2807	Low-moor peat
2808	Moist mull
2808	Mull
2809	Mull-like moder
2809	Moder
2809	Moder
2810	Moder
2810	Mull-like moder
2810	Moder
2811	Moder
2811	Moder
2811	Mull-like moder
2812	Mull-like moder
2812	Moder
2812	Moder
2813	Mull-like moder
2813	Moder
2813	Moder
2814	Mull
2814	Mull-like moder
2815	Mull-like moder
2815	Moder
2815	Moder
2816	Mull
2816	Moder
2816	Mull-like moder
2817	Mull-like moder
2817	Moder
2818	Mull
2818	Low-moor peat
2819	Mull-like moder
2819	Mull
2820	Mull-like moder
2820	Mull
2821	Moist moder
2821	Transition bog peat
2822	Mull
2822	Moder
2822	Mull-like moder
2822	Mull
2823	Raw humus
2823	Raw humus
2824	Moist mull
2824	Low-moor peat
2824	Anmoor
2824	Low-moor peat
2825	Moist moder
2826	Raw humus
2826	Raw humus-like moder
2827	Mull
2827	Mull
2828	Raw humus
2828	Raw humus-like moder
2829	Raw humus
2829	Raw humus-like moder
2830	Moist mull
2830	Moist moder
2831	Moist mull
3001	Mull
3002	Moder
3002	Mull-like moder
3003	Mull
3004	Mull
3005	Moder
3005	Mull-like moder
3006	Mull
3007	Mull
3008	Mull
3009	Tangel
3010	Tangel
3011	Mull-like moder
3011	Mull
3012	Mull
3013	Mull
3014	Tangel
3024	Mull
3081	Mull
3081	Mull-like moder
3082	Mull
3082	Moder
