Comm_ID	Account of relevés	Locations of relevés	Authors	Year of occurances
1		Isola Grande dello Stagnone near Marsala (Sicily, Italy)	Brullo & Di Martino, 1974 in Cambria 2019	1974
1		Litoralul Mãrii Negre (Midia, Mamaia, Agigea, Mangalia (Romania)	Donita et al. 2005	1937-1997
1	21	Golfe de Gascogne, Manche, Mer du Nord (France)	Harmsen 	1936
1	n.n.	Coast North-, Baltic Sea (Germany)	Schubert, Hilbig, Klotz 1992	n.n.
2	5	Golfe de Gascogne, Manche, Mer du Nord, Golfe du Lion (France)	Boudouresque et al. 1977	1977
2		Palma di Montechiaro (Sicily, Italy)	Giardina et al., 2007 in Cambria 2019	2007
2		Palermo (Sicily, Italy)	Giardina et al., 2007 in Cambria 2019	2007
2		Trapani (Sicily, Italy)	Giardina et al., 2007 in Cambria 2019	2007
2		Quinta de Marim (Portugal)	Lousa et al. in Rivas-Martinez et al. 1999	1999
2		Parque Ría Formosa Natural Park (Algarve, Portugal)	Lousa et al. in Rivas-Martinez et al. 1999	1999
2	11	along the entire Atlantic coast north to southern Norway, the Orkney Islands and Ireland, in the Baltic Sea, the Mediterranean, the Black Sea, the Caspian Sea. In the Netherlands in the Wadden Sea at Oosterschelde and Westerschelde. 	Schaminée et al. 2022	n.n.
2	n.n.	Coast North- Sea, Baltic Sea (Germany)	Schubert, Hilbig, Klotz 1992	n.n.
3		Romania: Black Sea coast (Midia, Agigea, Mangalia), Transylvania (Someșeni-Cluj, Turda, Ocna Sibiului)	Donita et al. 2005	1939-1995
3	13	Atlantic coast(France)	Fukarek	1961
3	n.n.	Transitional waters Coast North- Sea, Baltic Sea (Germany)	Schubert, Hilbig, Klotz 1992	n.n.
3		Piana del Signore near Gela (Sicily, Italy)	Sciandrello 2007 in Cambria 2019	2007
4	43	Wadden and estuarine areas (Netherlands)	Schaminée et al. 2010	2010
4	1	Schelde-Estoaria (Belgium)	Westhoff et Den Held 1969	1969
5	n.n.	Transitional waters Coast Baltic Sea (Germany)	Schubert, Hilbig, Klotz 1992	n.n.
6		Strand of Rossbeigh, Co. Kerry (Ireland)	Braun-Blanquet et Tüxen	1951
6	116	Atlantic and Mediterranean coasts, salt springs in Lorraine (France)	Géhu et Franck 1982	1982
6	43	along the North Sea coasts from northern France and southern England to Denmark; also in the Baltic Sea region. In the Netherlands in the Wadden District, the Northern Clay District and the Estuarine District.	Schaminée et al. 2010	2010
6	n.n.	Transitional waters Coast Baltic Sea (Germany)	Schubert, Hilbig, Klotz 1992	n.n.
6	2	Lowland, especially in the south, Kisalföld, Lake Fertő (Hungary)	Soó 1964	1964
6	10	North- Sea tidal flat coast (Germany)	Tüxen	1937
7		Raab meander lakes in the eastern Styrian hills (Austria)	Baumann  in Grabherr et Mucina 1993	1981
7	207	occurs scattered throughout the whole territory except for the higher mountains (Česko)	Chytry et al. 2011	1975/2011
7		North Serbia: alluvial lowlands along the Danube, Sava, Tisa, Tamiš and Begej rivers	Cvijanovic et al. 2018	2018
7		North Serbia: alluvial lowlands along the Danube, Sava, Tisa, Tamiš and Begej rivers	Cvijanovic et al. 2018	2018
7		Surroundings of Graz (Austria)	Eggler  in Grabherr et Mucina 1993	1933
7		Lake Constance area (Austria)	Grabherr et Polatschek  in Grabherr et Mucina 1993	1986
7	n.n.	Slovakia: River Ipel	Hrivnak 2002	n.n.
7	22	Mecklenburg (Germany)	Passarge 1964	1963
7	n.n	in a pond at Chambord (Departement Loir-et-Cher, France) in Sologne	Pujol et al. 2023	n.n.
7	n.n	Ponds in Departments Cher,  l'Eure-et-Loir, Indre, Indre-et-Loire, Loir-et-Cher, Loiret (France)    	Pujol et al. 2023	n.n.
7	183	from western France to Greece and Romania and from northern Spain to southern Sweden. In the Netherlands now very common in the low moorland area and in the area of the major rivers.	Schaminée et al. 2010	2010
7		Rhine Valley (Austria)	Scholze  in Grabherr et Mucina 1993	1986
7		Danube floodplains above and below Vienna (Austria)	Schratt	1988
7		Pulkau valley (Austria)	Schratt  in Grabherr et Mucina 1993	1993
7	6	The Danube from Soroksar to Baja (Hungary)	Soó 1964	1964
7	2	Brandenburg, Mecklenburg (Germany)	Sukopp	1959
7		Salzburg Flachgau region (Austria)	Wittmann et Strobl  in Grabherr et Mucina 1993	1990
8	11	Elbe, Havel, Spree, Oder valley (Germany)	Passarge 1964	1963
8	14	most notably along the Danube, also Rábca river, along the Tisza, Drava and Mura rivers (Hungary)	Soó 1964	1964
9		Sicani Mountains (Sicily, Italy)	Bazan & Marino, 2005 in Cambria 2019	2005
9		Nebrodi mountains  (Sicily, Italy)	Brullo et al., 1994 in Cambria 2019	1994
9		Iblei Mountains  (Sicily, Italy)	Brullo et al., 1996 in Cambria 2019	1996
9		widespread throughout Sicily (Italy)	Cambria 2019	2019
9	334	the most common association of aquatic macrophytes, occurring mainly in the lowlands and at mid-altitudes (Česko)	Chytry et al. 2011	1975/2011
9		Stagnant waters (ponds, lakes, dead arms of rivers) in the plains and the Danube Delta (Romania)	Donita et al. 2005	1967-1997
9		Surroundings of Graz (Austria)	Eggler  in Grabherr et Mucina 1993	1933
9		Danube floodplains above and below Vienna (Austria)	Fink et al.  in Grabherr et Mucina 1993	1987
9	n.n.	Slovakia: River Ipel	Hrivnak 2002	n.n.
9		Laitha flootplains in northern Burgenland (Austria)	Lazowski  in Grabherr et Mucina 1993	
9	5	Brandenburg (Germany)	Panknin	1941
9	3	Brandenburg (Germany)	Passarge	1963
9		Rumblar, Río Grande, Viso del Marqués (Spain)	Quesada et al. 2011	2011
9		Rumblar, Arroyo de la Nava, Baños de la Encina (Spain)	Quesada et al. 2011	2011
9		Madonie mountains (Sicily, Italy)	Raimondo et al., 2004 in Cambria 2019	2004
9		Rhine Valley in Vorarlberg (Austria)	Scholze  in Grabherr et Mucina 1993	1986
9		Danube floodplains above and below Vienna (Austria)	Schratt  in Grabherr et Mucina 1993	1988
9		Trapani  (Sicily, Italy)	Scuderi, 2007 in Cambria 2019	2007
9		Pond near Kufstein (Austria)	Smettan  in Grabherr et Mucina 1993	1981
9	1	Brandenburg (Germany)	Sukopp	1959
10		Sicani Mountains (Sicily, Italy)	Bazan & Marino, 2005 in Cambria 2019	2005
10		Parque National de Monfragüe (Spain)	Belmonte 2008	2008
10	94	most common in warm lowlands (Česko)	Chytry et al. 2011	1975/2011
10		North Serbia: alluvial lowlands along the Danube, Sava, Tisa, Tamiš and Begej rivers	Cvijanovic et al. 2018	2018
10		North Serbia: alluvial lowlands along the Danube, Sava, Tisa, Tamiš and Begej rivers	Cvijanovic et al. 2018	2018
10		Ficuzza (Sicily, Italy)	Gianguzzi & La Mantia, 2004 in Cambria 2019	2004
10		Monte Cofano (Sicily, Italy)	Gianguzzi & La Mantia, 2008 in Cambria 2019	2008
10		Klagenfurt Basin (Austria)	Hartl et al.  in Grabherr et Mucina 1993	1992
10	n.n.	Slovakia: River Ipel	Hrivnak 2002	n.n.
10		Soprano lake near Caltanissetta (Sicily, Italy)	Marceno & Raimondo, 1977 in Cambria 2019	1977
10		Pantano Gurna near Riposto (Sicily, Italy)	Minissale & Spampinato, 1990 in Cambria 2019	1990
10	1	Mecklenburg (Germany)	Müller-Stoll and  Krausch	1959
10	11	Mecklenburg (Germany)	Passarge 1964	1963
10	n.n	Ponds in Departments Cher,  l'Eure-et-Loir, Indre, Indre-et-Loire, Loir-et-Cher, Loiret (France)    	Pujol et al. 2023	n.n.
10		Pulkau valley (Austria)	Schratt in Grabherr et Mucina	1993
10		Trapani  (Sicily, Italy)	Scuderi, 2007 in Cambria 2019	2007
12		Ciane river near Syracuse (Sicily, Italy)	Barbagallo et al., 1979 in Cambria 2019	1979
12		Campanito lake (Sicily, Italy)	Brullo et al., 1994 in Cambria 2019	1994
12		Contrada Pantana (Sicily, Italy)	Brullo et al., 1994 in Cambria 2019	1994
