GesID	SoilRef_ID	Legend_engl
1	688	Surface water over eutric fluvisols
2	688	Surface water over eutric fluvisols
3	684	Surface water  with sandy bottom
3	687	Surface water over digester sludge
5	681	Surface water with laomy bottom
5	688	Surface water over eutric fluvisols
6	688	Surface water over eutric fluvisols
7	686	Surface water  over nutrient mud
8	686	Surface water  over nutrient mud
9	686	Surface water  over nutrient mud
10	683	Surface water  with acid humic bottom
10	686	Surface water  over nutrient mud
10	687	Surface water over digester sludge
12	683	Surface water  with acid humic bottom
13	683	Surface water  with acid humic bottom
13	686	Surface water  over nutrient mud
14	681	Surface water with laomy bottom
14	682	Surface water  with clayey bottom
14	684	Surface water  with sandy bottom
15	683	Surface water  with acid humic bottom
15	691	Surface water with sandy mud
16	683	Surface water  with acid humic bottom
16	690	Surface water with peat mud
16	691	Surface water with sandy mud
18	691	Surface water with sandy mud
19	681	Surface water with laomy bottom
19	682	Surface water  with clayey bottom
19	684	Surface water  with sandy bottom
19	691	Surface water with sandy mud
21	681	Surface water with laomy bottom
21	691	Surface water with sandy mud
22	683	Surface water  with acid humic bottom
22	686	Surface water  over nutrient mud
24	683	Surface water  with acid humic bottom
24	690	Surface water with peat mud
25	687	Surface water over digester sludge
26	684	Surface water  with sandy bottom
26	691	Surface water with sandy mud
27	691	Surface water with sandy mud
28	691	Surface water with sandy mud
29	683	Surface water  with acid humic bottom
29	691	Surface water with sandy mud
30	686	Surface water  over nutrient mud
31	683	Surface water  with acid humic bottom
31	691	Surface water with sandy mud
32	691	Surface water with sandy mud
33	681	Surface water with laomy bottom
33	683	Surface water  with acid humic bottom
33	690	Surface water with peat mud
33	691	Surface water with sandy mud
34	691	Surface water with sandy mud
35	691	Surface water with sandy mud
36	681	Surface water with laomy bottom
36	682	Surface water  with clayey bottom
36	686	Surface water  over nutrient mud
36	691	Surface water with sandy mud
37	682	Surface water  with clayey bottom
37	686	Surface water  over nutrient mud
38	683	Surface water  with acid humic bottom
38	691	Surface water with sandy mud
