# Community_BERN5_ID	Plant_BERN5_ID	Plant_is_constant	Charakterart	Community_Name	Plant_Name	is dominant
1	3071	1	0	Zosteretum marinae BORG ex VAN GOOR 1921	Chorda filum	
1	3304	1	1	Zosteretum marinae BORG ex VAN GOOR 1921	Zostera marina	dominant
1	3332	1	0	Zosteretum marinae BORG ex VAN GOOR 1921	Fucus vesiculosus	
1	3333	1	0	Zosteretum marinae BORG ex VAN GOOR 1921	Ceramium rubrum	
2	3305	1	1	Zosteretum noltii HARMSEN 1936	Zostera noltii	dominant
3	3223	1	0	Ruppietum maritimae HOCQUETTE 1927	Potamogeton pectinatus	
3	3250	1	0	Ruppietum maritimae HOCQUETTE 1927	Ruppia cirrhosa	dominant
3	3251	1	1	Ruppietum maritimae HOCQUETTE 1927	Ruppia maritima	
3	3302	1	0	Ruppietum maritimae HOCQUETTE 1927	Zannichellia palustris	dominant
4	3702	1	1	Spartinetum townsendii CORILLON 1953	Spartina x townsendii	dominant
5	3095	1	1	Eleocharitetum parvulae LIBBERT 1940	Eleocharis parvula	dominant
5	3251	1	0	Eleocharitetum parvulae LIBBERT 1940	Ruppia maritima	
6	3253	1	1	Salicornietum herbacae TÜXEN 1937	Salicornia europaea	dominant
7	3145	1	1	Lemno minoris-Spirodeletum polyrrhiza W. KOCH 1954	Lemna minor	dominant
7	3147	1	0	Lemno minoris-Spirodeletum polyrrhiza W. KOCH 1954	Lemna trisulca	dominant
7	3282	1	0	Lemno minoris-Spirodeletum polyrrhiza W. KOCH 1954	Spirodela polyrhiza	
8	3124	1	0	Salvinio-Spirodeletum polyrrhiza W. KOCH 1954	Hydrocharis morsus-ranae	
8	3145	1	0	Salvinio-Spirodeletum polyrrhiza W. KOCH 1954	Lemna minor	
8	3256	1	1	Salvinio-Spirodeletum polyrrhiza W. KOCH 1954	Salvinia natans	
8	3282	1	0	Salvinio-Spirodeletum polyrrhiza W. KOCH 1954	Spirodela polyrhiza	dominant
9	3145	1	1	Lemnetum minoris OBERDORFER 1957	Lemna minor	dominant
9	3282	1	0	Lemnetum minoris OBERDORFER 1957	Spirodela polyrhiza	
10	3144	1	1	Lemnetum gibbae W. KOCH 1954	Lemna gibba	dominant
10	3145	1	0	Lemnetum gibbae W. KOCH 1954	Lemna minor	
10	3147	0	0	Lemnetum gibbae W. KOCH 1954	Lemna trisulca	
10	3282	1	0	Lemnetum gibbae W. KOCH 1954	Spirodela polyrhiza	
12	3145	1	0	Lemnetum trisulca KELHOFER 1915	Lemna minor	
12	3147	1	1	Lemnetum trisulca KELHOFER 1915	Lemna trisulca	dominant
13	3301	1	1	Wolffietum arrhiza MIYAWAKI et J. TÜXEN 1960	Wolffia arrhiza	dominant
14	3124	1	0	Spirodelo-Salvinietum natantis SLAVNIC 1956	Hydrocharis morsus-ranae	
14	3145	1	0	Spirodelo-Salvinietum natantis SLAVNIC 1956	Lemna minor	
14	3147	1	0	Spirodelo-Salvinietum natantis SLAVNIC 1956	Lemna trisulca	
14	3245	0	0	Spirodelo-Salvinietum natantis SLAVNIC 1956	Riccia rhenana	
14	3256	1	0	Spirodelo-Salvinietum natantis SLAVNIC 1956	Salvinia natans	dominant
14	3282	1	1	Spirodelo-Salvinietum natantis SLAVNIC 1956	Spirodela polyrhiza	
15	3016	1	0	Lemno minoris-Salvinietum natantis KORNECK 1959	Azolla caroliniana	
15	3017	1	0	Lemno minoris-Salvinietum natantis KORNECK 1959	Azolla filiculoides	
15	3146	1	0	Lemno minoris-Salvinietum natantis KORNECK 1959	Lemna pauciostata	
15	3256	1	1	Lemno minoris-Salvinietum natantis KORNECK 1959	Salvinia natans	dominant
16	3145	1	1	Riccietum fluitantis SLAVNIC 1956	Lemna minor	
16	3147	1	0	Riccietum fluitantis SLAVNIC 1956	Lemna trisulca	
16	3244	1	1	Riccietum fluitantis SLAVNIC 1956	Riccia fluitans	dominant
16	3246	1	0	Riccietum fluitantis SLAVNIC 1956	Ricciocarpus natans	
17	3145	1	0	Riccietum rhenanae KNAPP et STOFFERS 1962	Lemna minor	dominant
17	3147	1	0	Riccietum rhenanae KNAPP et STOFFERS 1962	Lemna trisulca	
17	3245	1	1	Riccietum rhenanae KNAPP et STOFFERS 1962	Riccia rhenana	dominant
18	3145	0	0	Ricciocarpetum natantis SEGAL 1963	Lemna minor	
18	3246	1	1	Ricciocarpetum natantis SEGAL 1963	Ricciocarpus natans	dominant
19	3124	1	0	Stratiotetum aloides NOWINSKI 1930	Hydrocharis morsus-ranae	
19	3145	1	0	Stratiotetum aloides NOWINSKI 1930	Lemna minor	
19	3147	0	0	Stratiotetum aloides NOWINSKI 1930	Lemna trisulca	
19	3223	0	0	Stratiotetum aloides NOWINSKI 1930	Potamogeton pectinatus	
19	3282	0	0	Stratiotetum aloides NOWINSKI 1930	Spirodela polyrhiza	
19	3285	1	1	Stratiotetum aloides NOWINSKI 1930	Stratiotes aloides	dominant
20	3124	1	1	Hydrocharo-Stratiotetum WESTHOFF et al. 1946	Hydrocharis morsus-ranae	dominant
20	3145	1	0	Hydrocharo-Stratiotetum WESTHOFF et al. 1946	Lemna minor	
20	3285	1	0	Hydrocharo-Stratiotetum WESTHOFF et al. 1946	Stratiotes aloides	
20	3297	1	0	Hydrocharo-Stratiotetum WESTHOFF et al. 1946	Utricularia vulgaris	
21	3124	1	1	Lemno-Hydrocharitetum morsus-ranae OBERDORFER 1957	Hydrocharis morsus-ranae	dominant
21	3145	1	0	Lemno-Hydrocharitetum morsus-ranae OBERDORFER 1957	Lemna minor	
21	3223	0	0	Lemno-Hydrocharitetum morsus-ranae OBERDORFER 1957	Potamogeton pectinatus	
22	3006	0	0	Lemno-Utricarietum vulgaris SOÓ 1938	Aldrovanda vesiculosa	
22	3124	0	0	Lemno-Utricarietum vulgaris SOÓ 1938	Hydrocharis morsus-ranae	
22	3145	1	0	Lemno-Utricarietum vulgaris SOÓ 1938	Lemna minor	
22	3294	1	0	Lemno-Utricarietum vulgaris SOÓ 1938	Utricularia intermedia	
