# ART_BERN5_ID	Plant_Name	pH_min	BS_min	CN_min	WI_min	CI_min	VP_min	CWB_min	pH_optmin	BS_optmin	CN_optmin	WI_optmin	CI_optmin	VP_optmin	CWB_optmin	pH_optmax	BS_optmax	CN_optmax	WI_optmax	CI_optmax	VP_optmax	CWB_optmax	pH_max	BS_max	CN_max	WI_max	CI_max	VP_max	CWB_max
1	Lolium perenne	3.2	5	12	6	6	90	-46	4	24	16	14	10	124	-23	6.6	81	28	38	25	226	46	7.5	100	33	46	30	260	69
2	Lotus pedunculatus	3.1	4	12	22	22	90	-46	3.8	23	16	30	10	116	-23	6.2	80	28	57	25	194	46	7	100	33	66	30	220	69
3	Luzula campestris	3	3	11	4	4	65	-46	3.8	22	16	16	13	96	-12	6.2	80	34	53	34	189	88	7	100	40	66	41	220	122
9	Oenanthe fistulosa	6	38	15	12	12	175	1	6.4	50	17	18	17	184	6	7.6	87	23	39	20	211	21	8	100	26	46	21	220	26
11	Petasites hybridus	4.7	25	10	8	8	115	-46	5.2	40	13	15	10	144	-23	6.9	85	24	37	25	231	46	7.5	100	28	45	30	260	69
14	Pimpinella major	5	28	8	6	6	90	-46	5.5	42	11	10	13	116	-12	7	85	22	23	34	194	88	7.5	100	26	28	41	220	122
15	Plantago coronopus	5.2	30	12	5	5	145	-46	5.6	44	13	7	8	154	-36	7	86	16	15	14	181	-7	7.5	100	17	18	16	190	2
17	Poa pratensis	3	3	8	4	4	90	-46	4	22	13	16	10	134	-23	7	80	28	53	25	266	46	8	100	33	66	30	310	69
18	Poa trivialis	3	3	7	4	4	90	-46	4	22	11	15	12	132	-17	7	80	26	48	30	258	69	8	100	31	60	36	300	98
19	Polygala vulgaris	3.2	5	18	4	4	90	-31	3.5	9	20	8	15	116	0	4.6	23	28	22	34	194	91	5	28	31	27	41	220	122
22	Primula veris	4.5	23	8	8	8	90	-46	5.2	38	13	13	10	116	-23	7.3	84	28	30	25	194	46	8	100	33	36	30	220	69
23	Ranunculus auricomus agg.	3.7	12	12	24	24	120	-46	4.4	29	15	31	10	140	-23	6.7	82	27	52	25	200	46	7.5	100	31	60	30	220	69
24	Ranunculus bulbosus	4.7	25	12	5	5	115	-22	5.2	40	14	8	14	136	-3	6.9	85	23	18	26	199	50	7.5	100	26	22	30	220	69
25	Ranunculus flammula	3.1	4	15	40	40	65	-36	3.7	13	18	45	14	96	-4	5.7	42	29	60	34	189	90	6.4	52	33	66	41	220	122
28	Ranunculus sceleratus	4.1	17	7	9	9	140	-36	4.7	33	10	16	11	150	-20	6.5	83	22	38	20	180	25	7.1	100	26	46	24	190	41
30	Rumex acetosa	3.1	4	12	4	4	90	-46	4	23	16	16	13	116	-12	7	80	28	53	34	194	88	8	100	33	66	41	220	122
32	Sagina procumbens	4.9	27	7	6	6	140	-36	5.4	41	12	18	10	152	-23	6.9	85	27	54	18	188	13	7.5	100	33	66	21	200	26
33	Ptilidium ciliare	3	3	18	4	4	90	-46	3.6	10	22	15	10	116	-23	5.4	34	35	48	25	194	46	6.1	42	40	60	30	220	69
35	Senecio aquaticus	3.7	12	15	32	32	120	-12	4.3	29	18	36	16	140	4	6.3	82	27	50	26	200	52	7	100	31	55	30	220	69
36	Serratula tinctoria	4.1	18	12	4	4	115	-46	4.7	34	16	12	10	136	-23	6.8	83	28	37	25	199	46	7.5	100	33	46	30	220	69
37	Silaum silaus	3.1	4	12	17	17	90	-46	3.9	23	16	26	10	116	-23	6.6	80	28	56	25	194	46	7.5	100	33	66	30	220	69
38	Stachys palustris	4.8	26	8	12	12	130	-46	5.3	40	11	20	9	148	-31	6.9	85	22	46	18	202	11	7.5	100	26	55	21	220	26
40	Taraxacum officinale	3	3	8	4	4	40	-46	4	22	13	15	13	76	-12	7	80	28	48	34	184	88	8	100	33	60	41	220	122
41	Trifolium dubium	3.2	5	12	4	4	90	-46	3.9	24	15	15	10	116	-23	6.2	81	27	48	25	194	46	7	100	31	60	30	220	69
42	Trifolium hybridum	5.5	34	12	4	4	135	-46	5.9	47	14	6	8	146	-34	7.1	86	20	15	15	179	0	7.5	100	22	18	18	190	12
44	Vicia tetrasperma	4.7	25	12	5	5	140	-36	5.1	40	14	9	10	150	-23	6.6	85	23	24	18	180	13	7.1	100	26	29	21	190	26
45	Achillea millefolium	3.3	6	8	4	4	90	-46	4.2	24	13	15	10	124	-23	7	81	28	48	25	226	46	8	100	33	60	30	260	69
46	Achillea ptarmica	3.1	4	16	22	22	130	-36	3.5	9	19	30	12	142	-14	4.9	26	29	57	26	178	52	5.4	32	33	66	31	190	74
47	Elytrigia repens	3.2	5	7	4	4	90	-46	4.1	24	11	15	10	136	-23	7	81	26	48	25	274	46	8	100	31	60	30	320	69
50	Agrostis capillaris	3.3	6	8	4	4	65	-46	3.7	14	13	14	13	96	-12	4.9	41	28	44	34	189	88	5.4	50	33	55	41	220	122
51	Allium angulosum	5.5	34	12	9	9	140	-46	6	47	14	15	8	150	-36	7.5	86	20	35	14	180	-7	8	100	22	42.7	16	190	2
53	Alopecurus pratensis	4.7	25	12	19	19	90	-46	5.2	40	15	27	10	116	-23	6.9	85	24	51	25	194	46	7.5	100	28	60	30	220	69
54	Anthoxanthum odoratum	3	3	12	4	4	65	-46	4	22	16	16	13	116	-12	7	80	28	53	34	269	88	8	100	33	66	41	320	122
55	Arrhenatherum elatius	3.2	5	8	4	4	90	-46	4	24	13	10	10	134	-23	6.6	81	28	29	25	266	46	7.5	100	33	36	30	310	69
56	Bromus racemosus	4.8	26	15	5	5	115	-46	5.2	40	17	9	10	136	-23	6.5	85	23	22	25	199	46	7	100	26	27	30	220	69
69	Centaurea scabiosa	4.9	27	12	4	4	115	-46	5.5	41	14	7	10	136	-23	7.3	85	23	19	25	199	46	8	100	26	23	30	220	69
70	Leucanthemum vulgare	3.2	5	8	4	4	70	-46	4.1	24	13	15	13	100	-12	7	81	28	48	34	190	88	8	100	33	60	41	220	122
71	Cirsium arvensis	3.3	6	7	10	10	115	-46	4.2	24	11	20	10	136	-23	7	81	26	50	25	199	46	8	100	31	60	30	220	69
73	Dactylorhiza incarnata	4.1	17	15	38	38	115	-36	4.7	33	18	43	12	130	-15	6.8	83	29	60	25	175	48	7.5	100	33	66	30	190	69
75	Eleocharis uniglumis	5.2	30	12	4	4	140	-27	5.5	44	16	16	14	156	-7	6.7	86	28	53	26	204	49	7.1	100	33	66	30	220	69
77	Festuca arundinacea	4.8	26	12	21	21	140	-36	5.3	40	16	28	10	156	-23	6.9	85	28	52	18	204	13	7.5	100	33	60	21	220	26
78	Festuca pratensis	4.4	21	12	5	5	90	-46	5.1	36	16	16	10	116	-23	7.2	84	28	49	25	194	46	8	100	33	60	30	220	69
79	Festuca rubra	3.1	4	8	4	4	65	-46	3.8	23	13	16	13	114	-12	6.2	80	28	53	34	261	88	7	100	33	66	41	310	122
81	Galium boreale	4.8	26	12	7	7	140	-46	5.4	40	16	14	9	153	-31	7.3	85	28	38	18	192	11	8	100	33	46	21	205	26
85	Gymnadenia conopsea	4.9	27	12	4	4	90	-31	5.5	41	14	14	13	110	-11	7.3	85	23	44	25	170	49	8	100	26	55	30	190	69
86	Holcus lanatus	3.1	4	8	8	8	90	-46	4	23	13	19	10	124	-23	7	80	28	54	25	226	46	8	100	33	66	30	260	69
87	Hypericum maculatum	3.2	5	15	6	6	40	-31	3.6	10	18	10	15	76	0	4.8	25	27	22	34	184	91	5.2	30	31	27	41	220	122
88	Hypericum tetrapterum	5.6	34	12	9	9	115	-46	5.9	47	14	15	10	136	-23	7.1	86	23	36	25	199	46	7.5	100	26	43	30	220	69
89	Hypochaeris radicata	3.1	4	18	4	4	90	-46	3.5	9	20	14	10	128	-23	4.9	27	29	44	25	242	46	5.4	33	32	55	30	280	69
91	Iris sibirica	4.9	27	12	9	9	140	-46	5.3	41	14	16	7	150	-38	6.5	85	20	38	12	180	-15	7	100	22	46	14	190	-8
93	Juncus compressus	5.8	37	15	5	5	115	-36	6.1	49	20	17	10	130	-23	7.1	87	35	53	18	175	13	7.5	100	40	66	21	190	26
98	Juncus tenuis	4.9	27	12	6	6	140	-36	5.3	41	14	13	10	150	-23	6.5	85	23	34	18	180	13	7	100	26	42	21	190	26
99	Lathyrus pratensis	4.9	27	12	7	7	90	-46	5.4	41	16	16	10	124	-23	6.9	85	28	46	25	226	46	7.5	100	33	56	30	260	69
100	Paris quadrifolia	4.7	25	12	6	6	110	-41	5.2	40	15	13	13	132	-8	6.9	85	27	34	34	198	89	7.5	100	31	42	41	220	122
101	Pulmonaria officinalis	4.4	21	10	6	6	110	-46	5.1	36	14	10	13	132	-12	7.2	84	26	23	34	198	88	8	100	31	28	41	220	122
102	Adoxa moschatellina	4	16	10	8	8	65	-46	4.7	32	14	18	13	90	-12	6.8	83	27	49	34	165	88	7.5	100	32	60	41	190	122
103	Veronica hederifolia	4.8	26	10	5	5	115	-46	5.3	40	13	9	10	136	-23	6.9	85	22	21	25	199	46	7.5	100	26	25	30	220	69
104	Cirsium oleraceum	4.1	17	7	25	25	110	-46	4.8	33	12	32	10	130	-24	7.2	83	27	53	23	190	38	8	100	33	60	28	210	60
105	Circaea lutetiana	4.8	26	12	8	8	110	-36	5.3	40	15	18	14	132	-4	6.9	85	27	48	34	198	90	7.5	100	31	58	41	220	122
106	Festuca gigantea	3.8	13	10	8	8	115	-46	4.5	30	14	18	10	136	-23	6.7	82	27	49	25	199	46	7.5	100	32	60	30	220	69
107	Carex sylvatica	3	3	12	8	8	110	-36	3.8	22	15	15	14	140	-4	6.2	80	27	37	34	230	90	7	100	31	45	41	260	122
108	Brachypodium sylvaticum	3.6	11	8	8	8	90	-46	4.3	28	12	18	13	136	-12	6.7	82	26	48	34	274	88	7.5	100	31	58	41	320	122
109	Melica uniflora	4	16	13	6	6	115	-27	4.6	32	16	10	16	148	2	6.4	83	27	23	34	247	92	7	100	31	28	41	280	122
112	Galium aparine	4.7	25	7	4	4	115	-46	5.1	40	11	15	10	154	-23	6.5	85	26	48	25	271	46	7	100	31	60	30	310	69
113	Dryopteris filix-mas	3.8	13	12	6	6	80	-46	4.5	30	16	15	13	108	-12	6.7	82	28	45	34	192	88	7.5	100	32	55	41	220	122
114	Veronica chamaedrys	3	3	8	4	4	90	-46	4	22	13	10	13	132	-12	7	80	28	29	34	258	88	8	100	33	36	41	300	122
115	Oxalis acetosella	3	3	8	4	4	55	-46	3.9	22	12	15	13	90	-12	6.6	80	27	48	34	195	88	7.5	100	32	60	41	230	122
116	Armeria maritima	3.6	11	12	5	5	140	-22	4.2	28	15	11	12	150	-15	6.3	82	27	31	16	180	5	7	100	31	38	18	190	12
117	Frangula alnus	3.3	6	10	4	4	90	-46	4	24	20	15	10	124	-23	6.2	81	50	48	25	226	46	7	100	60	60	30	260	69
119	Galium odoratum	4	16	12	6	6	110	-46	4.5	28	15	13	13	132	-12	6.2	67	27	34	34	198	88	6.8	80	31	42	41	220	122
120	Fraxinus excelsior	4.5	23	10	4	4	110	-46	5.1	38	13	15	13	132	-12	6.9	84	24	48	34	198	88	7.5	100	28	60	41	220	122
121	Poa nemoralis	3	3	8	4	4	110	-46	3.9	22	12	8	13	140	-12	6.6	80	26	23	34	230	88	7.5	100	31	28	41	260	122
122	Moehringia trinervia	3	3	8	4	4	90	-46	3.8	22	13	15	13	116	-12	6.2	80	28	48	34	194	88	7	100	33	60	41	220	122
123	Fagus sylvatica	3	3	11	7	7	110	-22	4	22	15	17	14	132	-3	7	80	27	49	26	198	50	8	100	32	60	30	220	69
124	Ulmus laevis	4.5	23	15	8	8	140	-36	5.1	38	17	14	12	150	-15	6.9	84	23	35	25	180	48	7.5	100	26	42	30	190	69
125	Carpinus betulus	4	15	12	5	5	110	-46	4.8	32	14	12	10	132	-23	7.2	83	23	34	25	198	46	8	100	26	42	30	220	69
126	Quercus robur	3	3	8	2	2	105	-46	4	22	14	13	10	150	-23	7	80	33	48	25	285	46	8	100	40	60	30	330	69
127	Arum maculatum	4.2	18	12	4	4	115	-12	4.8	34	14	8	16	136	4	6.8	83	23	20	26	199	52	7.5	100	26	25	30	220	69
128	Quercus petraea	3	3	8	3	3	115	-27	4	22	13	7	14	136	-7	7	80	28	22	26	199	49	8	100	33	27	30	220	69
130	Melica nutans	3.3	6	8	4	4	90	-46	4.2	24	12	8	12	116	-17	7	81	26	23	30	194	69	8	100	31	28	36	220	98
131	Hieracium glaucinum	3	3	15	4	4	140	-22	3.4	8	18	7	14	156	-3	4.6	23	27	18	26	204	50	5	28	31	22	30	220	69
132	Calamagrostis epigejos	3	3	8	4	4	120	-46	4	22	12	14	13	158	-12	7	80	27	47	34	272	88	8	100	32	58	41	310	122
