species_ID,species_name,Light,Temperature,Continentality,Moisture,Reaktion,Nitrogen,Salt,Toxitolerance,Unnamed: 10
1,Lolium perenne,8,6,3,5,7,7,0,,
2,Lotus uliginosus,7,5,2,8,6,4,0,,
3,Luzula campestris,7,-1,3,4,3,2,0,,
9,Oenanthe fistulosa,7,7,2,9,8,5,0,,
11,Petasites hybridus,7,5,2,8,7,8,0,,
14,Pimpinella major,7,5,2,5,7,7,0,,
15,Plantago coronopus,8,7,3,7,7,4,4,,
17,Poa pratensis,6,-1,-1,5,-1,6,0,,
18,Poa trivialis,6,-1,3,7,-1,7,1,,
19,Polygala vulgaris,7,-1,3,5,3,2,0,,
22,Primula veris,7,-1,3,4,8,3,0,,
23,Ranunculus auricomus agg.,5,6,3,-1,7,-1,0,,
24,Ranunculus bulbosus,8,6,3,3,7,3,0,,
25,Ranunculus flammula flammula,7,-1,3,9,3,2,1,,
28,Ranunculus sceleratus,9,6,-1,9,7,9,2,,
30,Rumex acetosa,8,-1,-1,-1,-1,6,0,,1
32,Sagina procumbens,7,-1,3,5,7,6,2,,
33,Ptilidium ciliare,8,3,6,4,2,,,,
35,Senecio aquaticus,7,6,2,8,4,5,0,,
36,Serratula tinctoria,6,6,5,-1,7,3,0,,
37,Silaum silaus,7,6,5,-1,7,2,0,,
38,Stachys palustris,7,5,-1,7,7,6,0,,
40,Taraxacum officinale,7,-1,-1,5,-1,-1,0,,
41,Trifolium dubium,6,6,3,5,6,5,0,,
42,Trifolium hybridum,7,6,5,6,7,5,0,,
44,Vicia tetrasperma,6,6,5,5,5,5,0,,
45,Achillea millefolium,8,-1,-1,4,-1,5,1,,
46,Achillea ptarmica,8,6,3,8,4,2,0,,
47,Agropyron repens repens,7,6,7,-1,-1,7,0,,
50,Agrostis tenuis,7,-1,3,-1,4,4,0,1,1
51,Allium angulosom,8,7,7,8,8,2,0,,
53,Alopecurus pratensis,6,-1,5,6,6,7,0,,
54,Anthoxanthum odoratum,-1,-1,-1,-1,-1,-1,1,,
55,Arrhenatherum eliatius,8,5,3,5,7,7,0,,
56,Bromus racemosus,6,6,2,8,5,5,0,,
69,Centaurea scabiosa,7,-1,3,3,8,4,0,,
70,Chrysanthemum leucanthemum,7,-1,3,4,-1,3,0,,
71,Cirsium arvensis,8,5,-1,-1,-1,7,1,,
73,Dactylorhiza incarnata,8,5,3,8,7,2,0,,
75,Eleocharis uniglumis,7,5,-1,9,7,5,5,,
77,Festuca arundinacea,8,5,-1,7,7,4,2,,
78,Festuca pratensis,8,-1,3,6,-1,6,0,,
79,Festuca rubra rubra,-1,-1,5,6,6,-1,0,,
81,Galium boreale,6,6,7,6,8,1,0,,
85,Gymnadenia conopsea,7,-1,2,7,8,3,0,,
86,Holcus lanatus,7,6,3,6,-1,4,1,,
87,Hypericum maculatum,8,-1,3,6,3,2,0,,
88,Hypericum tetrapterum,7,5,2,8,7,5,0,,
89,Hypochoeris radicata,8,5,3,5,4,3,1,,
91,Iris sibirica,8,6,5,8,6,2,0,,
93,Juncus compressus,8,5,3,8,7,5,1,,
98,Juncus tenuis,6,6,3,6,5,5,0,,
99,Lathyrus pratensis,7,5,-1,6,7,6,0,,
100,Paris quadrifolia,3,-1,4,6,7,7,0,,
101,Pulmonaria officinalis maculosa,5,6,5,5,8,6,0,,
102,Adoxa moschatellina,5,-1,5,6,7,8,0,,
103,Veronica hederifolia,6,6,3,5,7,7,0,,
104,Cirsium oleraceum,6,-1,3,7,8,5,0,,
105,Circaea lutetiana,4,5,3,6,7,7,0,,
106,Festuca gigantea,4,5,3,7,6,6,0,,
107,Carex sylvatica,2,5,3,5,6,5,0,,
108,Brachypodium sylvaticum,3,5,3,5,6,6,0,,
109,Melica uniflora,3,5,2,5,6,6,0,,
112,Galium aparine,7,6,3,-1,6,8,0,,
113,Dryopteris filix-mas,3,-1,3,5,5,6,0,,
114,Veronica chamaedrys,6,-1,-1,5,-1,-1,0,,
115,Oxalis acetosella,1,-1,3,5,4,6,0,,
116,Armeria maritima,8,6,2,6,5,4,6,,
117,Rhamnus frangula,6,6,5,8,4,-1,0,,
119,Galium odoratum,2,5,2,5,6,5,0,,
120,Fraxinus excelsior,4,5,3,-1,7,7,0,,
121,Poa nemoralis,5,-1,5,5,5,4,0,,
122,Moehringia trinervia,4,5,3,5,6,7,0,,
123,Fagus sylvatica,3,5,2,5,-1,-1,0,,
124,Ulmus laevis,4,6,5,8,7,7,0,,
125,Carpinus betulus,4,6,4,-1,-1,-1,0,,
126,Quercus robur,7,6,6,-1,-1,-1,0,,
127,Arum maculatum,3,6,2,7,7,8,0,,
128,Quercus petraea,6,6,2,5,-1,-1,0,,
130,Melica nutans,4,-1,3,4,-1,3,0,,
131,Hieracium glaucinum,5,7,3,4,3,3,0,,
132,Calamagrostis epigejos,7,5,7,-1,-1,6,0,,
133,Ranunculus ficaria,4,5,3,6,7,7,0,,
134,Lathyrus niger,5,6,4,3,7,3,0,,
135,Primula elatior,6,-1,4,6,7,7,0,,
137,Solanum dulcamara,7,5,-1,8,-1,8,0,,
138,Avenella flexuosa,6,-1,2,-1,2,3,0,,
139,Hedera helix,4,5,2,5,-1,-1,0,,
140,Stellaria holostea,5,6,3,5,6,5,0,,
141,Betula pendula,7,-1,-1,-1,-1,-1,0,,
145,Scleropodium purum,6,4,5,4,5,,,,
147,Lonicera alpigena,3,4,4,6,8,7,0,,
149,Valeriana dioica,7,-1,2,8,5,2,0,,
156,Hypnum cupressiforme,5,-1,5,4,4,,,,
157,Mnium hornum,5,3,4,6,3,,,,
158,Lonicera periclymenum,6,5,2,-1,3,4,0,,
159,Pleurozium schreberi,6,3,6,4,2,,,,
160,Sorbus aucuparia,6,-1,-1,-1,4,-1,0,,
161,Dryopteris dilatata,4,-1,3,6,-1,7,0,,
162,Humulus lupulus,7,6,3,8,6,8,0,,
163,Rubus idaeus,7,-1,-1,-1,-1,6,0,,
164,Athyrium filix-femina,3,-1,3,7,-1,6,0,,
165,Pteridium aquilinum,6,5,3,5,3,3,0,,
167,Milium effusum,4,-1,3,5,5,5,0,,
168,Maianthemum bifolium,3,-1,6,5,3,3,0,,
169,Convallaria majalis,5,-1,3,4,-1,4,0,,
170,Calamagrostis arundinacae,6,5,4,5,4,5,0,,
171,Anemone nemorosa,-1,-1,3,5,-1,-1,0,,
172,Luzula pilosa,2,-1,3,5,5,4,0,,
173,Carex pilulifera,5,-1,2,5,3,3,0,,
174,Polytrichum formosum,4,2,5,6,2,,,,
176,Dicranum scoparium,5,-1,5,4,4,,,,
178,Festuca ovina ovina,7,-1,3,-1,3,1,0,,1
