species_ID	species_name	species_ID_copy	species_name_synonym
1	Lolium perenne L.	1	Lolium halleri C.C.Gmel.
1	Lolium perenne L.	1	Lolium jechelianum Opiz
1	Lolium perenne L.	1	Lolium marschallii Steven
1	Lolium perenne L.	1	Lolium repens Honck.
1	Lolium perenne L.	1	Lolium cechicum Opiz
1	Lolium perenne L.	1	Lolium glumosum Planellas
1	Lolium perenne L.	1	Lolium trabutii Hochr.
1	Lolium perenne L.	1	Lolium tenue L.
1	Lolium perenne L.	1	Lolium gmelinii Honck.
1	Lolium perenne L.	1	Festuca perennis (L.) Columbus & J.P.Sm.
1	Lolium perenne L.	1	Lolium brasilianum Nees
2	Lotus pedunculatus Cav.	2	Lotus granadensis Chrtková
2	Lotus pedunculatus Cav.	2	Lotus uliginosus Schkuhr
3	Luzula campestris (L.) DC.	3	Juncus campestris L.
3	Luzula campestris (L.) DC.	3	Cyperella campestris (L.) MacMill.
3	Luzula campestris (L.) DC.	3	Juncoides campestris (L.) Kuntze
3	Luzula campestris (L.) DC.	3	Gymnodes campestris (L.) Fourr.
3	Luzula campestris (L.) DC.	3	Luciola campestris (L.) Sm.
9	Oenanthe fistulosa L.	9	Oenanthe lanceolata Poir.
9	Oenanthe fistulosa L.	9	Selinum fistulosum (L.) E.H.L.Krause
9	Oenanthe fistulosa L.	9	Oenanthe meifolia Schloss. & Vuk.
9	Oenanthe fistulosa L.	9	Oenanthe tabernaemontana C.C.Gmel.
9	Oenanthe fistulosa L.	9	Phellandrium dodonaei Bubani
9	Oenanthe fistulosa L.	9	Oenanthe fistulifolia Stokes
9	Oenanthe fistulosa L.	9	Oenanthe filipendula Dumort.
11	Petasites hybridus (L.) G.Gaertn., B.Mey. & Scherb.	11	Cineraria hybrida (L.) Bernh.
11	Petasites hybridus (L.) G.Gaertn., B.Mey. & Scherb.	11	Tussilago hybrida L.
14	Pimpinella major (L.) Huds.	14	Carum magnum (L.) Baill.
14	Pimpinella major (L.) Huds.	14	Pimpinella orientalis Gouan
14	Pimpinella major (L.) Huds.	14	Pimpinella rosea Lindem.
14	Pimpinella major (L.) Huds.	14	Carum dissectum Baill.
14	Pimpinella major (L.) Huds.	14	Apium pimpinella (L.) Caruel
14	Pimpinella major (L.) Huds.	14	Pimpinella laciniata Thore
14	Pimpinella major (L.) Huds.	14	Pimpinella magna L.
14	Pimpinella major (L.) Huds.	14	Pimpinella glabra Rostk. & Schmidt
14	Pimpinella major (L.) Huds.	14	Tragoselinum magnum (L.) Moench
14	Pimpinella major (L.) Huds.	14	Pimpinella germanica Vill. ex Spreng.
14	Pimpinella major (L.) Huds.	14	Pimpinella austriaca Mill.
14	Pimpinella major (L.) Huds.	14	Pimpinella bipinnata Boeber ex Georgi
14	Pimpinella major (L.) Huds.	14	Pimpinella dumetorum Boenn. ex Rchb.
14	Pimpinella major (L.) Huds.	14	Tragoselinum majus (L.) Lam.
14	Pimpinella major (L.) Huds.	14	Pimpinella subcrenata (Beck) Dalla Torre
14	Pimpinella major (L.) Huds.	14	Tragoselinum dissectum Moench
14	Pimpinella major (L.) Huds.	14	Selinum pimpinelloides E.H.L.Krause
14	Pimpinella major (L.) Huds.	14	Pimpinella rugosa Kunze
14	Pimpinella major (L.) Huds.	14	Pimpinella media Spreng.
14	Pimpinella major (L.) Huds.	14	Pimpinella rugulosa Schnizl.
15	Plantago coronopus L.	15	Coronopus vulgaris Fourr.
17	Poa pratensis L.	17	Paneion pratense (L.) Lunell
18	Poa trivialis L. 	18	Phalaris semineutra (Waldst. & Kit.) Roem. & Schult.
18	Poa trivialis L. 	18	Poa attica Boiss. & Heldr.
18	Poa trivialis L. 	18	Poa callida Rydb.
18	Poa trivialis L. 	18	Aira semineutra Waldst. & Kit.
18	Poa trivialis L. 	18	Poa woronowii Roshev.
18	Poa trivialis L. 	18	Poa uda Honda
18	Poa trivialis L. 	18	Poa portalii H.Scholz
18	Poa trivialis L. 	18	Poa semineutra (Waldst. & Kit.) Trin.
18	Poa trivialis L. 	18	Poa ariguensis Steud.
18	Poa trivialis L. 	18	Poa pichinchensis Hack.
18	Poa trivialis L. 	18	Poa dubia Leers
18	Poa trivialis L. 	18	Poa pollinensis N.Terracc.
18	Poa trivialis L. 	18	Poa setacea Huds.
